StoneMazePath,-11318,-11316,-9492,-9490
StoneMazeStudy,-11306,-11298,-9483,-9469
StoneMazePath,-11300,-11298,-9477,-9475
StoneMazeFountain,-11309,-11301,-9504,-9496
StoneMazePathBig,-11315,-11307,-9495,-9487
StoneMazePath,-11300,-11298,-9501,-9499
StoneMazePath,-11312,-11310,-9501,-9499
StoneMazeEndChest,-11312,-11310,-9504,-9502
StoneMazeEndChest,-11300,-11298,-9504,-9502
StoneMazePath,-11312,-11310,-9498,-9496
StoneMazePath,-11300,-11298,-9498,-9496
StoneMazePath,-11285,-11283,-9489,-9487
StoneMazePath,-11285,-11283,-9486,-9484
StoneMazePath,-11315,-11313,-9498,-9496
StoneMazeLitRoom,-11291,-11286,-9492,-9487
StoneMazePath,-11297,-11295,-9498,-9496
StoneMazeLitRoom,-11297,-11292,-9492,-9487
StoneMazePath,-11285,-11283,-9492,-9490
StoneMazeLitRoom,-11294,-11289,-9486,-9481
StoneMazePath,-11285,-11283,-9483,-9481
StoneMazePath,-11285,-11283,-9480,-9478
StoneMazePath,-11297,-11295,-9495,-9493
StoneMazePath,-11297,-11295,-9486,-9484
StoneMazeLitRoom,-11294,-11289,-9480,-9475
StoneMazePath,-11288,-11286,-9483,-9481
StoneMazePath,-11297,-11295,-9483,-9481
StoneMazePath,-11294,-11292,-9474,-9472
StoneMazePath,-11300,-11298,-9492,-9490
StoneMazePath,-11297,-11295,-9477,-9475
StoneMazePath,-11294,-11292,-9471,-9469
StoneMazePath,-11300,-11298,-9495,-9493
StoneMazePath,-11294,-11292,-9495,-9493
StoneMazePath,-11288,-11286,-9486,-9484
StoneMazePath,-11297,-11295,-9501,-9499
StoneMazeEndChest,-11288,-11286,-9495,-9493
StoneMazePath,-11300,-11298,-9486,-9484
StoneMazePath,-11288,-11286,-9480,-9478
StoneMazePath,-11303,-11301,-9486,-9484
StoneMazePath,-11291,-11289,-9495,-9493
StoneMazeEndChest,-11297,-11295,-9504,-9502
StoneMazePath,-11297,-11295,-9480,-9478
StoneMazePath,-11297,-11295,-9474,-9472
StoneMazePath,-11303,-11301,-9492,-9490
StoneMazeEndChest,-11306,-11304,-9486,-9484
StoneMazePath,-11306,-11304,-9492,-9490
StoneMazePath,-11300,-11298,-9489,-9487
StoneMazePath,-11318,-11316,-9498,-9496
StoneMazePath,-11291,-11289,-9474,-9472
StoneMazePath,-11318,-11316,-9495,-9493
StoneMazePath,-11303,-11301,-9495,-9493
StoneMazePath,-11306,-11304,-9495,-9493
StoneMazePath,-11291,-11289,-9471,-9469
StoneMazePath,-11291,-11289,-9498,-9496
StoneMazePath,-11294,-11292,-9498,-9496
StoneMazePath,-11288,-11286,-9471,-9469
StoneMazePath,-11297,-11295,-9471,-9469
StoneMazePath,-11291,-11289,-9501,-9499
StoneMazePath,-11303,-11301,-9489,-9487
StoneMazeEndChest,-11285,-11283,-9471,-9469
StoneMazePath,-11291,-11289,-9504,-9502
StoneMazePath,-11288,-11286,-9498,-9496
StoneMazePath,-11294,-11292,-9501,-9499
StoneMazePath,-11288,-11286,-9501,-9499
StoneMazePath,-11288,-11286,-9477,-9475
StoneMazePath,-11288,-11286,-9474,-9472
StoneMazePath,-11285,-11283,-9477,-9475
StoneMazePath,-11294,-11292,-9504,-9502
StoneMazePath,-11285,-11283,-9498,-9496
StoneMazePath,-11285,-11283,-9501,-9499
StoneMazePath,-11285,-11283,-9495,-9493
StoneMazePath,-11285,-11283,-9474,-9472
StoneMaze,-11318,-11283,-9504,-9469
StonePlantMound2,-11372,-11359,-9335,-9323
