StoneLeafMound,-11086,-11079,-8171,-8162
StonePlantBoulder,-11253,-11243,-8104,-8094
StonePlantBoulder,-10984,-10974,-8096,-8086
StoneLeafMound,-11190,-11181,-8060,-8053
StoneBoulder,-11005,-10996,-8012,-8003
ShrineSmallWater,-10773,-10765,-8152,-8144
StonePlantMound,-11104,-11099,-7901,-7896
StoneMazePath,-10808,-10806,-7946,-7944
StoneMazePath,-10811,-10809,-7946,-7944
StoneMazePath,-10814,-10812,-7946,-7944
StoneMazePathBig,-10808,-10800,-7979,-7971
StoneMazeEndChest,-10799,-10797,-7976,-7974
StoneMazePath,-10811,-10809,-7976,-7974
StoneMazeLitRoom,-10808,-10803,-7952,-7947
StoneMazePath,-10811,-10809,-7949,-7947
StoneMazePath,-10811,-10809,-7952,-7950
StoneMazePath,-10811,-10809,-7955,-7953
StoneMazePath,-10805,-10803,-7946,-7944
StoneMazePath,-10817,-10815,-7946,-7944
StoneMazePath,-10802,-10800,-7949,-7947
StoneMazePath,-10814,-10812,-7976,-7974
StoneMazeLitRoom,-10805,-10800,-7958,-7953
StoneMazePath,-10817,-10815,-7976,-7974
StoneMazeEndChest,-10811,-10809,-7958,-7956
StoneMazePath,-10799,-10797,-7958,-7956
StoneMazePath,-10811,-10809,-7973,-7971
StoneMazePath,-10811,-10809,-7979,-7977
StoneMazePath,-10802,-10800,-7952,-7950
StoneMazePath,-10802,-10800,-7961,-7959
StoneMazePath,-10799,-10797,-7949,-7947
StoneMazeEndChest,-10820,-10818,-7976,-7974
StoneMazePath,-10811,-10809,-7970,-7968
StoneMazePath,-10799,-10797,-7955,-7953
StoneMazePath,-10814,-10812,-7970,-7968
StoneMazePath,-10820,-10818,-7958,-7956
StoneMazePath,-10814,-10812,-7979,-7977
StoneMazePath,-10799,-10797,-7952,-7950
StoneMazePath,-10805,-10803,-7961,-7959
StoneMazeShootingRange,-10796,-10791,-7958,-7950
StoneMazePath,-10808,-10806,-7955,-7953
StoneMazeEndChest,-10817,-10815,-7979,-7977
StoneMazePath,-10814,-10812,-7967,-7965
StoneMazePath,-10808,-10806,-7958,-7956
StoneMazePath,-10799,-10797,-7946,-7944
StoneMazePath,-10814,-10812,-7955,-7953
StoneMazePath,-10817,-10815,-7970,-7968
StoneMazeEndChest,-10808,-10806,-7970,-7968
StoneMazePath,-10817,-10815,-7958,-7956
StoneMazeLitRoom,-10817,-10812,-7964,-7959
StoneMazePath,-10811,-10809,-7964,-7962
StoneMazePath,-10814,-10812,-7958,-7956
StoneMazePath,-10799,-10797,-7961,-7959
StoneMazePath,-10820,-10818,-7970,-7968
StoneMazePath,-10808,-10806,-7964,-7962
StoneMazePath,-10796,-10794,-7961,-7959
StoneMazePath,-10787,-10785,-7961,-7959
StoneMazePath,-10817,-10815,-7967,-7965
StoneMazePath,-10802,-10800,-7946,-7944
StoneMazePath,-10805,-10803,-7964,-7962
StoneMazePath,-10817,-10815,-7955,-7953
StoneMazePath,-10820,-10818,-7973,-7971
StoneMazePath,-10811,-10809,-7961,-7959
StoneMazePath,-10811,-10809,-7967,-7965
StoneMazePath,-10796,-10794,-7946,-7944
StoneMazePath,-10808,-10806,-7961,-7959
StoneMazePath,-10790,-10788,-7961,-7959
StoneMazePath,-10793,-10791,-7961,-7959
StoneMazePath,-10820,-10818,-7955,-7953
StoneMazePath,-10817,-10815,-7952,-7950
StoneMazePath,-10793,-10791,-7964,-7962
StoneMazePath,-10790,-10788,-7964,-7962
StoneMazePath,-10805,-10803,-7970,-7968
StoneMazePath,-10790,-10788,-7958,-7956
StoneMazePath,-10805,-10803,-7967,-7965
StoneMazePath,-10790,-10788,-7952,-7950
StoneMazePath,-10817,-10815,-7973,-7971
StoneMazePath,-10796,-10794,-7949,-7947
StoneMazePath,-10820,-10818,-7952,-7950
StoneMazeEndChest,-10787,-10785,-7958,-7956
StoneMazePath,-10817,-10815,-7949,-7947
StoneMazeEndChest,-10793,-10791,-7946,-7944
StoneMazePath,-10814,-10812,-7949,-7947
StoneMazeEndChest,-10796,-10794,-7964,-7962
StoneMazePath,-10820,-10818,-7967,-7965
StoneMazeShootingRange,-10793,-10785,-7970,-7965
StoneMazePath,-10820,-10818,-7964,-7962
StoneMazeEndChest,-10820,-10818,-7961,-7959
StoneMazePath,-10793,-10791,-7949,-7947
StoneMazePath,-10802,-10800,-7967,-7965
StoneMazePath,-10787,-10785,-7964,-7962
StoneMazePath,-10793,-10791,-7973,-7971
StoneMazeEndChest,-10802,-10800,-7964,-7962
StoneMazePath,-10814,-10812,-7952,-7950
StoneMazePath,-10799,-10797,-7967,-7965
StoneMazeEndChest,-10814,-10812,-7973,-7971
StoneMazePath,-10796,-10794,-7967,-7965
StoneMazePath,-10802,-10800,-7970,-7968
StoneMazePath,-10820,-10818,-7949,-7947
StoneMazeEndChest,-10808,-10806,-7967,-7965
StoneMazePath,-10796,-10794,-7970,-7968
StoneMazePath,-10793,-10791,-7976,-7974
StoneMazePath,-10790,-10788,-7955,-7953
StoneMazePath,-10793,-10791,-7979,-7977
StoneMazePath,-10787,-10785,-7955,-7953
StoneMazePath,-10796,-10794,-7976,-7974
StoneMazePath,-10796,-10794,-7979,-7977
StoneMazePath,-10799,-10797,-7970,-7968
StoneMazePath,-10796,-10794,-7973,-7971
StoneMazeEndChest,-10799,-10797,-7964,-7962
StoneMazePath,-10790,-10788,-7973,-7971
StoneMazePath,-10799,-10797,-7979,-7977
StoneMazePath,-10787,-10785,-7952,-7950
StoneMazePath,-10790,-10788,-7976,-7974
StoneMazeEndChest,-10787,-10785,-7949,-7947
StoneMazePath,-10790,-10788,-7979,-7977
StoneMazePath,-10787,-10785,-7979,-7977
StoneMazePath,-10787,-10785,-7973,-7971
StoneMaze,-10820,-10785,-7979,-7944
Tree_Oak_TheMushroomOak_v3,-11130,-11071,-8016,-7966
SmallWoodenCottage1,-11190,-11179,-7948,-7942
ShrineSmallFire,-11185,-11175,-7854,-7844
StoneBoulder,-11130,-11121,-7779,-7770
StonePlantMound4,-11244,-11237,-7923,-7916
StonePlantMound1,-11234,-11228,-7808,-7802
ShrineSmallFire,-11025,-11015,-7750,-7740
