ShrineSmallFire,-10912,-10902,-9581,-9571
UndergroundCultChamber,-10917,-10875,-9447,-9415
StoneBoulder,-11158,-11149,-9635,-9626
StoneMazePathBig,-11213,-11205,-9485,-9477
StoneMazePathBig,-11195,-11187,-9497,-9489
StoneMazePath,-11204,-11202,-9482,-9480
StoneMazePathBig,-11210,-11202,-9512,-9504
StoneMazePath,-11192,-11190,-9488,-9486
StoneMazeStudy,-11201,-11187,-9512,-9504
StoneMazePath,-11204,-11202,-9479,-9477
StoneMazePathBig,-11222,-11214,-9494,-9486
StoneMazePath,-11204,-11202,-9485,-9483
StoneMazeShootingRange,-11213,-11205,-9503,-9498
StoneMazePath,-11219,-11217,-9485,-9483
StoneMazePath,-11201,-11199,-9479,-9477
StoneMazePath,-11192,-11190,-9485,-9483
StoneMazePath,-11195,-11193,-9485,-9483
StoneMazePath,-11195,-11193,-9488,-9486
StoneMazeEndChest,-11189,-11187,-9488,-9486
StoneMazePath,-11201,-11199,-9485,-9483
StoneMazePath,-11213,-11211,-9509,-9507
StoneMazePath,-11198,-11196,-9485,-9483
StoneMazePathBig,-11222,-11214,-9503,-9495
StoneMazePath,-11201,-11199,-9482,-9480
StoneMazePath,-11219,-11217,-9506,-9504
StoneMazePath,-11222,-11220,-9506,-9504
StoneMazeEndChest,-11213,-11211,-9506,-9504
StoneMazePath,-11201,-11199,-9488,-9486
StoneMazePath,-11198,-11196,-9479,-9477
StoneMazeEndChest,-11198,-11196,-9482,-9480
StoneMazePath,-11207,-11205,-9497,-9495
StoneMazePath,-11219,-11217,-9482,-9480
StoneMazePath,-11213,-11211,-9512,-9510
StoneMazeSpiderRoom,-11213,-11208,-9497,-9492
StoneMazeEndChest,-11201,-11199,-9491,-9489
StoneMazePath,-11198,-11196,-9488,-9486
StoneMazeEndChest,-11219,-11217,-9479,-9477
StoneMazePath,-11216,-11214,-9506,-9504
StoneMazeEndChest,-11195,-11193,-9506,-9504
StoneMazePath,-11219,-11217,-9509,-9507
StoneMazePath,-11213,-11211,-9491,-9489
StoneMazeEndChest,-11219,-11217,-9512,-9510
StoneMazePath,-11222,-11220,-9482,-9480
StoneMazeEndChest,-11222,-11220,-9485,-9483
StoneMazePath,-11216,-11214,-9509,-9507
StoneMazePath,-11207,-11205,-9494,-9492
StoneMazePath,-11198,-11196,-9491,-9489
StoneMazePath,-11210,-11208,-9491,-9489
StoneMazePath,-11195,-11193,-9479,-9477
StoneMazePath,-11204,-11202,-9494,-9492
StoneMazePath,-11192,-11190,-9479,-9477
StoneMazePath,-11204,-11202,-9491,-9489
StoneMazePath,-11189,-11187,-9479,-9477
StoneMazePath,-11204,-11202,-9497,-9495
StoneMazePath,-11210,-11208,-9488,-9486
StoneMazeEndChest,-11222,-11220,-9479,-9477
StoneMazePath,-11204,-11202,-9500,-9498
StoneMazePath,-11216,-11214,-9512,-9510
StoneMazePath,-11207,-11205,-9488,-9486
StoneMazePath,-11198,-11196,-9494,-9492
StoneMazePath,-11195,-11193,-9482,-9480
StoneMazePath,-11204,-11202,-9488,-9486
StoneMazePath,-11192,-11190,-9482,-9480
StoneMazeEndChest,-11213,-11211,-9488,-9486
StoneMazePath,-11189,-11187,-9482,-9480
StoneMazePath,-11189,-11187,-9485,-9483
StoneMazeEndChest,-11204,-11202,-9503,-9501
StoneMazePath,-11201,-11199,-9494,-9492
StoneMazeEndChest,-11198,-11196,-9497,-9495
StoneMaze,-11222,-11187,-9512,-9477
ShrineSmallFire,-11124,-11114,-9346,-9336
StonePlantMound,-11257,-11252,-9260,-9255
